,statecounty,ruralurban
0,AL Autauga,0
1,AL Baldwin,0
2,AL Barbour,1
3,AL Bibb,1
4,AL Blount,1
5,AL Bullock,1
6,AL Butler,1
7,AL Calhoun,0
8,AL Chambers,0
9,AL Cherokee,1
10,AL Chilton,1
11,AL Choctaw,1
12,AL Clarke,1
13,AL Clay,1
14,AL Cleburne,1
15,AL Coffee,0
16,AL Colbert,0
17,AL Conecuh,1
18,AL Coosa,1
19,AL Covington,1
20,AL Crenshaw,1
21,AL Cullman,1
22,AL Dale,1
23,AL Dallas,0
24,AL DeKalb,1
25,AL Elmore,1
26,AL Escambia,1
27,AL Etowah,0
28,AL Fayette,1
29,AL Franklin,1
30,AL Geneva,1
31,AL Greene,1
32,AL Hale,1
33,AL Henry,1
34,AL Houston,0
35,AL Jackson,1
36,AL Jefferson,0
37,AL Lamar,1
38,AL Lauderdale,0
39,AL Lawrence,1
40,AL Lee,0
41,AL Limestone,1
42,AL Lowndes,1
43,AL Macon,1
44,AL Madison,0
45,AL Marengo,1
46,AL Marion,1
47,AL Marshall,1
48,AL Mobile,0
49,AL Monroe,1
50,AL Montgomery,0
51,AL Morgan,0
52,AL Perry,1
53,AL Pickens,1
54,AL Pike,1
55,AL Randolph,1
56,AL Russell,0
57,AL Saint Clair,1
58,AL Shelby,0
59,AL Sumter,1
60,AL Talladega,1
61,AL Tallapoosa,1
62,AL Tuscaloosa,0
63,AL Walker,1
64,AL Washington,1
65,AL Wilcox,1
66,AL Winston,1
67,AK Aleutians East ,1
68,AK Aleutians West Census Area,1
69,AK Anchorage,0
70,AK Bethel,1
71,AK Bristol Bay ,1
72,AK Denali,1
73,AK Dillingham Census Area,1
74,AK Fairbanks North Star,0
75,AK Haines,1
76,AK Hoonah-Angoon Census Area,1
77,AK Juneau City,0
78,AK Kenai Peninsula,1
79,AK Ketchikan Gateway,0
80,AK Kodiak Island,0
81,AK Kusilvak Census Area,1
82,AK Lake and Peninsula ,1
83,AK Matanuska-Susitna,1
84,AK Nome,1
85,AK North Slope ,1
86,AK Northwest Arctic,1
87,AK Petersburg Census Area,1
88,AK Prince of Wales-Hyder Census Area,1
89,AK Sitka City,0
90,AK Skagway Municipality,1
91,AK Southeast Fairbanks,1
92,AK Valdez-Cordova,1
93,AK Wrangell City and ,1
94,AK Yakutat City and ,1
95,AK Yukon-Koyukuk,1
96,AZ Apache,1
97,AZ Cochise,0
98,AZ Coconino,0
99,AZ Gila,0
100,AZ Graham,0
101,AZ Greenlee,0
102,AZ La Paz,1
103,AZ Maricopa,0
104,AZ Mohave,0
105,AZ Navajo,1
106,AZ Pima,0
107,AZ Pinal,0
108,AZ Santa Cruz,0
109,AZ Yavapai,0
110,AZ Yuma,0
111,AR Arkansas,0
112,AR Ashley,1
113,AR Baxter,1
114,AR Benton,0
115,AR Boone,1
116,AR Bradley,0
117,AR Calhoun,1
118,AR Carroll,1
119,AR Chicot,1
120,AR Clark,1
121,AR Clay,1
122,AR Cleburne,1
123,AR Cleveland,1
124,AR Columbia,1
125,AR Conway,1
126,AR Craighead,0
127,AR Crawford,1
128,AR Crittenden,0
129,AR Cross,1
130,AR Dallas,1
131,AR Desha,0
132,AR Drew,0
133,AR Faulkner,0
134,AR Franklin,1
135,AR Fulton,1
136,AR Garland,0
137,AR Grant,1
138,AR Greene,0
139,AR Hempstead,1
140,AR Hot Spring,1
141,AR Howard,1
142,AR Independence,1
143,AR Izard,1
144,AR Jackson,1
145,AR Jefferson,0
146,AR Johnson,1
147,AR Lafayette,1
148,AR Lawrence,1
149,AR Lee,1
150,AR Lincoln,1
151,AR Little River,1
152,AR Logan,1
153,AR Lonoke,0
154,AR Madison,1
155,AR Marion,1
156,AR Miller,0
157,AR Mississippi,0
158,AR Monroe,1
159,AR Montgomery,1
160,AR Nevada,1
161,AR Newton,1
162,AR Ouachita,1
163,AR Perry,1
164,AR Phillips,0
165,AR Pike,1
166,AR Poinsett,1
167,AR Polk,1
168,AR Pope,1
169,AR Prairie,1
170,AR Pulaski,0
171,AR Randolph,1
172,AR Saint Francis,1
173,AR Saline,0
174,AR Scott,1
175,AR Searcy,1
176,AR Sebastian,0
177,AR Sevier,1
178,AR Sharp,1
179,AR Stone,1
180,AR Union,1
181,AR Van Buren,1
182,AR Washington,0
183,AR White,1
184,AR Woodruff,1
185,AR Yell,1
186,CA Alameda,0
187,CA Alpine,1
188,CA Amador,1
189,CA Butte,0
190,CA Calaveras,1
191,CA Colusa,0
192,CA Contra Costa,0
193,CA Del Norte,0
194,CA El Dorado,0
195,CA Fresno,0
196,CA Glenn,0
197,CA Humboldt,0
198,CA Imperial,0
199,CA Inyo,0
200,CA Kern,0
201,CA Kings,0
202,CA Lake,0
203,CA Lassen,1
204,CA Los Angeles,0
205,CA Madera,0
206,CA Marin,0
207,CA Mariposa,1
208,CA Mendocino,0
209,CA Merced,0
210,CA Modoc,1
211,CA Mono,0
212,CA Monterey,0
213,CA Napa,0
214,CA Nevada,0
215,CA Orange,0
216,CA Placer,0
217,CA Plumas,1
218,CA Riverside,0
219,CA Sacramento,0
220,CA San Benito,0
221,CA San Bernardino,0
222,CA San Diego,0
223,CA San Francisco,0
224,CA San Joaquin,0
225,CA San Luis Obispo,0
226,CA San Mateo,0
227,CA Santa Barbara,0
228,CA Santa Clara,0
229,CA Santa Cruz,0
230,CA Shasta,0
231,CA Sierra,1
232,CA Siskiyou,1
233,CA Solano,0
234,CA Sonoma,0
235,CA Stanislaus,0
236,CA Sutter,0
237,CA Tehama,1
238,CA Trinity,1
239,CA Tulare,0
240,CA Tuolumne,0
241,CA Ventura,0
242,CA Yolo,0
243,CA Yuba,0
244,CO Adams,0
245,CO Alamosa,0
246,CO Arapahoe,0
247,CO Archuleta,1
248,CO Baca,1
249,CO Bent,0
250,CO Boulder,0
251,CO Broomfield,0
252,CO Chaffee,0
253,CO Cheyenne,1
254,CO Clear Creek,1
255,CO Conejos,1
256,CO Costilla,1
257,CO Crowley,1
258,CO Custer,1
259,CO Delta,1
260,CO Denver,0
261,CO Dolores,1
262,CO Douglas,0
263,CO Eagle,0
264,CO Elbert,1
265,CO El Paso,0
266,CO Fremont,0
267,CO Garfield,0
268,CO Gilpin,1
269,CO Grand,1
270,CO Gunnison,1
271,CO Hinsdale,1
272,CO Huerfano,1
273,CO Jackson,1
274,CO Jefferson,0
275,CO Kiowa,1
276,CO Kit Carson,0
277,CO Lake,0
278,CO La Plata,1
279,CO Larimer,0
280,CO Las Animas,0
281,CO Lincoln,1
282,CO Logan,0
283,CO Mesa,0
284,CO Mineral,1
285,CO Moffat,0
286,CO Montezuma,1
287,CO Montrose,0
288,CO Morgan,0
289,CO Otero,0
290,CO Ouray,1
291,CO Park,1
292,CO Phillips,1
293,CO Pitkin,0
294,CO Prowers,0
295,CO Pueblo,0
296,CO Rio Blanco,1
297,CO Rio Grande,1
298,CO Routt,0
299,CO Saguache,1
300,CO San Juan,1
301,CO San Miguel,1
302,CO Sedgwick,1
303,CO Summit,0
304,CO Teller,1
305,CO Washington,1
306,CO Weld,0
307,CO Yuma,1
308,CT Fairfield,0
309,CT Hartford,0
310,CT Litchfield,0
311,CT Middlesex,0
312,CT New Haven,0
313,CT New London,0
314,CT Tolland,0
