2015 Geography Name;tate;2010 Census Total Population;2010 Census Urban Population;2010 Census Rural Population
Autauga County;Alabama;54571;31650;22921
Baldwin County;Alabama;182265;105205;77060
Barbour County;Alabama;27457;8844;18613
Bibb County;Alabama;22915;7252;15663
Blount County;Alabama;57322;5760;51562
Bullock County;Alabama;10914;5307;5607
Butler County;Alabama;20947;6026;14921
Calhoun County;Alabama;118572;78617;39955
Chambers County;Alabama;34215;17399;16816
Cherokee County;Alabama;25989;3707;22282
Chilton County;Alabama;43643;5785;37858
Choctaw County;Alabama;13859;0;13859
Clarke County;Alabama;25833;6205;19628
Clay County;Alabama;13932;0;13932
Cleburne County;Alabama;14972;0;14972
Coffee County;Alabama;49948;26375;23573
Colbert County;Alabama;54428;30537;23891
Conecuh County;Alabama;13228;2520;10708
Coosa County;Alabama;11539;0;11539
Covington County;Alabama;37765;11461;26304
Crenshaw County;Alabama;13906;0;13906
Cullman County;Alabama;80406;21517;58889
Dale County;Alabama;50251;24679;25572
Dallas County;Alabama;43820;23821;19999
DeKalb County;Alabama;71109;7018;64091
Elmore County;Alabama;79303;36330;42973
Escambia County;Alabama;38319;13982;24337
Etowah County;Alabama;104430;65286;39144
Fayette County;Alabama;17241;3408;13833
Franklin County;Alabama;31704;9395;22309
Geneva County;Alabama;26790;2775;24015
Greene County;Alabama;9045;0;9045
Hale County;Alabama;15760;1707;14053
Henry County;Alabama;17302;2119;15183
Houston County;Alabama;101547;67220;34327
Jackson County;Alabama;53227;12233;40994
Jefferson County;Alabama;658472;593714;64752
Lamar County;Alabama;14564;0;14564
Lauderdale County;Alabama;92709;47008;45701
Lawrence County;Alabama;34339;2991;31348
Lee County;Alabama;140251;101806;38441
Limestone County;Alabama;82782;35092;47690
Lowndes County;Alabama;11299;0;11299
Macon County;Alabama;21452;9536;11916
Madison County;Alabama;334811;279763;55048
Marengo County;Alabama;21027;6452;14575
Marion County;Alabama;30776;3430;27346
Marshall County;Alabama;93019;43469;49550
Mobile County;Alabama;412999;330310;82682
Monroe County;Alabama;23068;4834;18234
Montgomery County;Alabama;229363;205300;24063
Morgan County;Alabama;119490;73370;46120
Perry County;Alabama;10591;0;10591
Pickens County;Alabama;19746;0;19746
Pike County;Alabama;32899;15897;17002
Randolph County;Alabama;22913;4275;18638
Russell County;Alabama;52947;34199;18748
Saint Clair County;Alabama;83593;22740;60853
Shelby County;Alabama;195085;150323;44762
Sumter County;Alabama;13763;0;13763
Talladega County;Alabama;82291;36360;45931
Tallapoosa County;Alabama;41616;10726;30890
Tuscaloosa County;Alabama;194656;145003;49653
Walker County;Alabama;67023;17367;49656
Washington County;Alabama;17581;0;17581
Wilcox County;Alabama;11670;0;11670
Winston County;Alabama;24484;3699;20785
Aleutians East ;Alaska;3141;0;3141
Aleutians West Census Area;Alaska;5561;0;5561
Anchorage County;Alaska;291826;279811;12015
Bethel;Alaska;17013;4434;12579
Bristol Bay ;Alaska;997;0;997
Denali;Alaska;1826;0;1826
Dillingham Census Area;Alaska;4847;0;4847
Fairbanks North Star;Alaska;97581;67457;30124
Haines;Alaska;2508;0;2508
Hoonah-Angoon Census Area;Alaska;2150;0;2150
Juneau City;Alaska;31275;24537;6738
Kenai Peninsula;Alaska;55400;11447;43953
Ketchikan Gateway;Alaska;13477;10352;3125
Kodiak Island;Alaska;13592;9335;4257
Kusilvak Census Area;Alaska;7459;0;7459
Lake and Peninsula ;Alaska;1635;0;1635
Matanuska-Susitna;Alaska;88995;44236;44759
Nome;Alaska;9492;3222;6270
North Slope ;Alaska;9430;3835;5595
Northwest Arctic;Alaska;7523;3200;4323
Petersburg Census Area;Alaska;3815;0;3815
Prince of Wales-Hyder Census Area;Alaska;5559;0;5559
Sitka City;Alaska;8881;7027;1854
Skagway Municipality;Alaska;968;0;968
Southeast Fairbanks;Alaska;7029;0;7029
Valdez-Cordova;Alaska;9636;0;9636
Wrangell City and ;Alaska;2369;0;2369
Yakutat City and ;Alaska;662;0;662
Yukon-Koyukuk;Alaska;5588;0;5588
Apache County;Arizona;71518;18551;52967
Cochise County;Arizona;131346;83666;47680
Coconino County;Arizona;134421;92124;42297
Gila County;Arizona;53597;31589;22008
Graham County;Arizona;37220;19936;17284
Greenlee County;Arizona;8437;4508;3929
La Paz County;Arizona;20489;8948;11541
Maricopa County;Arizona;3817117;3726888;90229
Mohave County;Arizona;200186;154216;45970
Navajo County;Arizona;107449;49278;58171
Pima County;Arizona;980263;906513;73750
Pinal County;Arizona;375770;293459;82311
Santa Cruz County;Arizona;47420;34672;12748
Yavapai County;Arizona;211033;140976;70057
Yuma County;Arizona;195751;175335;20416
Arkansas County;Arkansas;19019;12418;6601
Ashley County;Arkansas;21853;10559;11294
Baxter County;Arkansas;41513;14180;27333
Benton County;Arkansas;221339;165650;55689
Boone County;Arkansas;36903;13950;22953
Bradley County;Arkansas;11508;5801;5707
Calhoun County;Arkansas;5368;0;5368
Carroll County;Arkansas;27446;7456;19990
Chicot County;Arkansas;11800;5395;6405
Clark County;Arkansas;22995;10491;12504
Clay County;Arkansas;16083;6617;9466
Cleburne County;Arkansas;25970;6357;19613
Cleveland County;Arkansas;8689;0;8689
Columbia County;Arkansas;24552;10438;14114
Conway County;Arkansas;21273;6272;15001
Craighead County;Arkansas;96443;65419;31024
Crawford County;Arkansas;61948;29759;32189
Crittenden County;Arkansas;50902;40270;10632
Cross County;Arkansas;17870;7722;10148
Dallas County;Arkansas;8116;3844;4272
Desha County;Arkansas;13008;8921;4087
Drew County;Arkansas;18509;9512;8997
Faulkner County;Arkansas;113237;69346;43891
Franklin County;Arkansas;18125;3153;14972
Fulton County;Arkansas;12245;867;11378
Garland County;Arkansas;96024;60588;35436
Grant County;Arkansas;17853;4458;13395
Greene County;Arkansas;42090;24620;17470
Hempstead County;Arkansas;22609;10000;12609
Hot Spring County;Arkansas;32923;11204;21719
Howard County;Arkansas;13789;4479;9310
Independence County;Arkansas;36647;11513;25134
Izard County;Arkansas;13696;0;13696
Jackson County;Arkansas;17997;6288;11709
Jefferson County;Arkansas;77435;53495;23940
Johnson County;Arkansas;25540;7313;18227
Lafayette County;Arkansas;7645;0;7645
Lawrence County;Arkansas;17415;6346;11069
Lee County;Arkansas;10424;3804;6620
Lincoln County;Arkansas;14134;0;14134
Little River County;Arkansas;13171;4146;9025
Logan County;Arkansas;22353;6478;15875
Lonoke County;Arkansas;68356;37724;30632
Madison County;Arkansas;15717;0;15717
Marion County;Arkansas;16653;0;16653
Miller County;Arkansas;43462;26072;17390
Mississippi County;Arkansas;46480;29623;16857
Monroe County;Arkansas;8149;2528;5621
Montgomery County;Arkansas;9487;0;9487
Nevada County;Arkansas;8997;2773;6224
Newton County;Arkansas;8330;0;8330
Ouachita County;Arkansas;26121;11401;14719
Perry County;Arkansas;10445;0;10445
Phillips County;Arkansas;21757;11321;10436
